Experiment;Structure;Fragment;Species;Date;Green;Survival (%)
MAP;1;7;Acropora verweyi;14-4-2020;162.7209415;100
MAP;1;8;Porites cylindrica;14-4-2020;191.7055899;20
MAP;1;9;Acropora verweyi;14-4-2020;192.3200725;100
MAP;1;10;Acropora verweyi;14-4-2020;155.9594702;100
MAP;1;11;Porites cylindrica;14-4-2020;201.819269;80
MAP;1;12;Pocillopora verrucose;14-4-2020;191.0865534;100
MAP;1;13;Millepora sp;14-4-2020;232.7423266;10
MAP;1;14;Porites cylindrica;14-4-2020;200.6287255;70
MAP;1;15;Acropora verweyi;14-4-2020;155.0843166;100
MAP;1;16;Millepora sp;14-4-2020;175.7383927;40
MAP;1;1;Pocillopora verrucose;21-4-2020;166.4199047;100
MAP;1;2;Porites cylindrica;21-4-2020;171.043529;90
MAP;1;3;Pocillopora verrucose;21-4-2020;161.1121219;80
MAP;1;4;Millepora sp;21-4-2020;158.3265166;70
MAP;1;5;Millepora sp;21-4-2020;184.5646899;20
MAP;1;6;Pocillopora verrucose;21-4-2020;164.6321;90
MAP;1;7;Acropora verweyi;21-4-2020;136.3153565;100
MAP;1;8;Porites cylindrica;21-4-2020;165.563353;20
MAP;1;9;Acropora verweyi;21-4-2020;133.0365375;100
MAP;1;10;Acropora verweyi;21-4-2020;131.828105;100
MAP;1;11;Porites cylindrica;21-4-2020;177.2456991;80
MAP;1;12;Pocillopora verrucose;21-4-2020;164.7150288;100
MAP;1;13;Millepora sp;21-4-2020;151.9430611;10
MAP;1;14;Porites cylindrica;21-4-2020;158.8042633;70
MAP;1;15;Acropora verweyi;21-4-2020;171.4289969;100
MAP;1;16;Millepora sp;21-4-2020;157.0055245;40
MAP;1;1;Pocillopora verrucose;5-5-2020;182.3891995;90
MAP;1;2;Porites cylindrica;5-5-2020;187.5907309;80
MAP;1;3;Pocillopora verrucose;5-5-2020;;0
MAP;1;4;Millepora sp;5-5-2020;174.4481807;60
MAP;1;5;Millepora sp;5-5-2020;177.0361174;10
MAP;1;6;Pocillopora verrucose;5-5-2020;196.8836646;20
MAP;1;7;Acropora verweyi;5-5-2020;;0
MAP;1;8;Porites cylindrica;5-5-2020;;0
MAP;1;9;Acropora verweyi;5-5-2020;172.6845988;100
MAP;1;10;Acropora verweyi;5-5-2020;128.5481607;90
MAP;1;11;Porites cylindrica;5-5-2020;187.0742487;80
MAP;1;12;Pocillopora verrucose;5-5-2020;;0
MAP;1;13;Millepora sp;5-5-2020;193.7291764;10
MAP;1;14;Porites cylindrica;5-5-2020;166.0225092;40
MAP;1;15;Acropora verweyi;5-5-2020;179.012673;100
MAP;1;16;Millepora sp;5-5-2020;182.4521967;30
MAP;1;1;Pocillopora verrucose;27-5-2020;150.0767054;10
MAP;1;2;Porites cylindrica;27-5-2020;;0
MAP;1;3;Pocillopora verrucose;27-5-2020;;0
MAP;1;4;Millepora sp;27-5-2020;87.81344076;80
MAP;1;5;Millepora sp;27-5-2020;;0
MAP;1;6;Pocillopora verrucose;27-5-2020;;0
MAP;1;7;Acropora verweyi;27-5-2020;;0
MAP;1;8;Porites cylindrica;27-5-2020;;0
MAP;1;9;Acropora verweyi;27-5-2020;199.3780104;100
MAP;1;10;Acropora verweyi;27-5-2020;;0
MAP;1;11;Porites cylindrica;27-5-2020;168.8572078;80
MAP;1;12;Pocillopora verrucose;27-5-2020;;0
MAP;1;13;Millepora sp;27-5-2020;97.04740162;20
MAP;1;14;Porites cylindrica;27-5-2020;;0
MAP;1;15;Acropora verweyi;27-5-2020;;0
MAP;1;16;Millepora sp;27-5-2020;;0
MAP;1;1;Pocillopora verrucose;24-6-2020;;0
MAP;1;2;Porites cylindrica;24-6-2020;;0
MAP;1;3;Pocillopora verrucose;24-6-2020;;0
MAP;1;4;Millepora sp;24-6-2020;46.11962704;40
MAP;1;5;Millepora sp;24-6-2020;;0
MAP;1;6;Pocillopora verrucose;24-6-2020;;0
MAP;1;7;Acropora verweyi;24-6-2020;;0
MAP;1;8;Porites cylindrica;24-6-2020;;0
MAP;1;9;Acropora verweyi;24-6-2020;47.9549176;100
MAP;1;10;Acropora verweyi;24-6-2020;45.78583211;90
MAP;1;11;Porites cylindrica;24-6-2020;141.2465843;10
MAP;1;12;Pocillopora verrucose;24-6-2020;;0
MAP;1;13;Millepora sp;24-6-2020;86.94972591;10
MAP;1;14;Porites cylindrica;24-6-2020;;0
MAP;1;15;Acropora verweyi;24-6-2020;80.55467013;90
MAP;1;16;Millepora sp;24-6-2020;28.64910443;50
MAP;2;1;Pocillopora verrucose;10-3-2020;131.755295;100
MAP;2;2;Porites cylindrica;10-3-2020;155.7699793;80
MAP;2;3;Acropora verweyi;10-3-2020;118.5127474;100
MAP;2;4;Pocillopora verrucose;10-3-2020;139.0818053;100
MAP;2;5;Pocillopora verrucose;10-3-2020;131.4615694;100
MAP;2;6;Acropora verweyi;10-3-2020;134.2251551;100
MAP;2;7;Millepora sp;10-3-2020;144.7059517;100
MAP;2;8;Porites cylindrica;10-3-2020;148.9395604;20
MAP;2;9;Acropora verweyi;10-3-2020;131.1222805;100
MAP;2;10;Millepora sp;10-3-2020;140.5291693;100
MAP;2;11;Porites cylindrica;10-3-2020;167.3948286;80
MAP;2;12;Acropora verweyi;10-3-2020;135.2392428;100
MAP;2;13;Millepora sp;10-3-2020;116.2161325;60
MAP;2;14;Porites cylindrica;10-3-2020;153.7829694;20
MAP;2;15;Pocillopora verrucose;10-3-2020;150.2941691;100
MAP;2;16;Millepora sp;10-3-2020;130.692017;100
MAP;2;1;Pocillopora verrucose;16-3-2020;116.4878614;100
MAP;2;2;Porites cylindrica;16-3-2020;111.9779178;70
MAP;2;3;Acropora verweyi;16-3-2020;54.61412859;100
MAP;2;4;Pocillopora verrucose;16-3-2020;124.1096873;100
MAP;2;5;Pocillopora verrucose;16-3-2020;104.0951227;100
MAP;2;6;Acropora verweyi;16-3-2020;74.80793491;100
MAP;2;7;Millepora sp;16-3-2020;62.27223938;100
MAP;2;8;Porites cylindrica;16-3-2020;142.090832;30
MAP;2;9;Acropora verweyi;16-3-2020;57.72861007;100
MAP;2;10;Millepora sp;16-3-2020;72.30967342;80
MAP;2;11;Porites cylindrica;16-3-2020;115.7367547;70
MAP;2;12;Acropora verweyi;16-3-2020;72.28897393;100
MAP;2;13;Millepora sp;16-3-2020;75.43824849;50
MAP;2;14;Porites cylindrica;16-3-2020;97.97699125;10
MAP;2;15;Pocillopora verrucose;16-3-2020;99.13383546;100
MAP;2;16;Millepora sp;16-3-2020;62.23218588;100
MAP;2;1;Pocillopora verrucose;24-3-2020;197.9947167;100
MAP;2;2;Porites cylindrica;24-3-2020;159.2856606;60
MAP;2;3;Acropora verweyi;24-3-2020;83.65298878;100
MAP;2;4;Pocillopora verrucose;24-3-2020;170.0688752;90
MAP;2;5;Pocillopora verrucose;24-3-2020;160.3774102;90
MAP;2;6;Acropora verweyi;24-3-2020;82.3881689;100
MAP;2;7;Millepora sp;24-3-2020;141.2553381;100
MAP;2;8;Porites cylindrica;24-3-2020;192.0875912;10
MAP;2;9;Acropora verweyi;24-3-2020;77.38785102;100
MAP;2;10;Millepora sp;24-3-2020;102.3872245;60
MAP;2;11;Porites cylindrica;24-3-2020;153.692669;80
MAP;2;12;Acropora verweyi;24-3-2020;112.2027783;100
MAP;2;13;Millepora sp;24-3-2020;161.2463281;40
MAP;2;14;Porites cylindrica;24-3-2020;146.0158004;10
MAP;2;15;Pocillopora verrucose;24-3-2020;191.7232429;100
MAP;2;16;Millepora sp;24-3-2020;164.7860808;60
MAP;2;1;Pocillopora verrucose;31-3-2020;193.9246509;100
